f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Buffalo Lake under Buffalo Hump,,1905,,Photo text: 'Buffalo Lake under the shadow of Buffalo Hump.',mountains; forests; national forests; lakes,"Nez Perce National Forest, Idaho",Buffalo Hump,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC263,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,32,archivalidaho32,image,archivalidaho32.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho32.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho32_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho32_th.jpg,
"Mountain sheep, on Salmon River out of Shupe","Murry, T.B.",1928,,This is image is part of records by Fish and Wild Life Services.,national forests; mountains; wildlife; sheep; landscapes,"Stanley, Idaho",,,44.260435,-114.854448,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 39,,United States Fish and Wildlife Service,NARA0815DC73,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,33,archivalidaho33,image,archivalidaho33.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho33.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho33_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho33_th.jpg,
Pack string crossing Big Creek,"Benedict, M.S.",1937,,A string of pack animals crossing Big Creek in Payette National Forest.,national forests; pack trains; pack strings; livestock; horse; riders; creeks,"Payette National Forest, Idaho; Frank Church River of No Return Wilderness, Idaho; Idaho National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,45.127066,-115.323808,,363491,United States Forest Service,IntermtnPics4,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,34,archivalidaho34,image,archivalidaho34.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho34.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho34_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho34_th.jpg,
Biological survey over-night camp in snow,,1935,,"Photo text: 'Typical Biological survey over-night camp. 'You hope the trees are big and have a lot of branches.' Bottom: 'Elk and dog team, Fall River, Targhee National Forest, March, 1935.' These images were part of a report by the United States Department of Agriculture Biological Survey on predation and pests.",camps; surveys; people; national forests,"Targhee National Forest, Idaho",,,44.350264,-111.338442,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 41,,,2017DC44,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,35,archivalidaho35,image,archivalidaho35.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho35.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho35_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho35_th.jpg,
USDA Biological Survey and University of Idaho Extension mixing station,,1936,yes,This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.,agriculture; pesticides; mixing stations; extension; predations; poison; buildings; exteriors,"Aberdeen, Idaho",,,42.956818,-112.828407,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 27,,,2017DC2,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,36,archivalidaho36,image,archivalidaho36.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho36.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho36_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho36_th.jpg,
"Avalanche destruction, Burke and Mace","Morris, W.W.",1910,yes,Photo text: 'The slide had gone from the top of Tiger Peak.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; trees; snow; winter; avalanches; snow slides; disasters; towns; cities; buildings,"Burke, Idaho",,,47.521258,-115.817918,,,United States Forest Service,pic_2014-09-30_004707a,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,37,archivalidaho37,image,archivalidaho37.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho37.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho37_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho37_th.jpg,
The 'Bunch' Selway Ranger Meeting,,1920,yes,Photo text: 'Major Feen sitting on bottom step (with tie.)' A list of the attendees was compiled on the back of the image. This was scanned with the image.,national forests; rangers; meetings; portraits; groups; people,"Nez Perce-Clearwater National Forest, Idaho",,,46.101364,-115.546221,,,United States Forest Service,ClrwtrNF20,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,38,archivalidaho38,image,archivalidaho38.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho38.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho38_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho38_th.jpg,
"Salmon River, 12 miles above Riggins","Jackson, H.H.T.",1941,,This is image is part of records by Fish and Wild Life Services.,national forests; mountains; ridges; peaks; points; landscapes,"Riggins, Idaho",,,45.571421,-116.303336,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 11,,United States Fish and Wildlife Service,NARA0815DC49,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,39,archivalidaho39,image,archivalidaho39.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho39.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho39_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho39_th.jpg,
Lakes and mountains around South for of Payette River,"Stevens, A.W.",1925,,"Photo caption: 'Looking SW from position over Mt. Cramer. Payette Peak in the upper left corner. All lakes shown drain into South Fork of the Payette River, which goes off the picture in timbered valley at right. This is very head of the SouthFork of the Payette River. Main Sawtooth Divide on left, Mt. in upper center with top cut off and snow spots near base is Glens Peak. Drainage thru the large lake in upper right is Tenlake Creek.'",mountains; peaks; drainage; rivers; creeks; lakes; ridges; aerial,"Boise County, Idaho; Custer County, Idaho",Mount Cramer,,44.01102,-114.98258,,,,NARA10StlPht49,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,40,archivalidaho40,image,archivalidaho40.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho40.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho40_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho40_th.jpg,
View from Oregon Butte Lookout,,1930,yes,View from Oregon Butte Lookout,mountains; peaks; points; valleys; forests; landscapes; lookouts; fire lookouts; national forests,"Nez Perce-Clearwater National Forest, Idaho; Nez Perce National Forest, Idaho",,,45.521604,-115.668829,,,United States Forest Service,Payette114,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,41,archivalidaho41,image,archivalidaho41.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho41.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho41_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho41_th.jpg,
"Kellogg or Shoshone Airport site and Kellogg, aerial",,1938,,"Kellogg or Shoshone County Airport, Coeur d'Alene River, and Kellogg, Idaho.",airport; air strip; landing field; runway; city; aerial; survey,"Kellogg, Idaho",,,47.550936,-116.192283,,,United States Geological Survey,NARA10StlPht32,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,42,archivalidaho42,image,archivalidaho42.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho42.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho42_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho42_th.jpg,
Construction on walk area near Boise Veteran's Hospital.,,1927,yes,"Construction near Veteran's Hospital, Boise. Note: This image is part of a Work Progress Administration publicity series.",Works Progress Administration; WPA; buildings; towns; cities; surveys,"Boise, Idaho",,,43.69073,-115.25369,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC150b,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,43,archivalidaho43,image,archivalidaho43.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho43.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho43_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho43_th.jpg,
Fish rearing pond,"Balderson, V.W.",1937,,"Project 145, Maintenance of rearing ponds, $200. Screens made for or repaired. Awaiting shipment of fish from Federal Hatchery. Remaining funds to be used in cleaning screens.' Note: This image is part of a report by V.W. Balderson to Director of Indian Affairs, D.E. Murphy on CCC-Indian Division Projects completed by the Fort Hall Agency, Fort Hall, Idaho.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; fish; pond,"Fort Hall Reservation, Idaho",,,42.96457,-112.36563,NARA DC; RG 75; E 1000 CCC - Indian Division; General Records; Box 102 Fort Hall,,,NARA16DC45,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,44,archivalidaho44,image,archivalidaho44.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho44.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho44_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho44_th.jpg,
